country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Israel,2024,21.0,228000.0,5.9,9100.0
Switzerland,2021,21.0,139140.0,2.9,10100.0
Austria,2021,20.0,106055.0,2.1,10400.0
France,2022,20.0,1050590.0,2.7,91000.0
Iceland,2018,20.0,8017.0,3.4,95.0
Portugal,2021,20.0,78003.0,1.4,4200.0
Luxembourg,2021,20.0,,,
Germany,2024,19.0,3102300.0,6.5,157000.0
United Kingdom,2021,19.0,710240.0,2.1,34500.0
Belgium,2021,18.0,172085.0,2.9,12720.0
Finland,2020,18.0,55701.0,1.8,4330.0
New Zealand,2022,18.0,65016.0,2.0,700.0
Canada,2024,17.0,860320.0,4.2,32600.0
France,2021,17.0,740400.0,1.9,54900.0
Israel,2023,17.0,151000.0,4.2,4910.0
Viet Nam,2024,17.0,110170.0,4.6,6100.0
Denmark,2020,16.0,62150.0,2.3,870.0
Ireland,2021,16.0,,,
China,2021,15.0,7800019.0,3.0,1150000.0
Costa Rica,2024,15.0,22470.0,1.9,1370.0
Netherlands,2019,15.0,207210.0,2.4,47300.0
Norway,2014,15.0,35304.0,1.4,5310.0
Germany,2020,14.0,611000.0,1.3,43300.0
Iceland,2017,14.0,3902.0,1.7,68.0
Switzerland,2020,14.0,84084.0,1.8,7700.0
Australia,2024,13.0,302089.0,1.9,6700.0
Canada,2023,13.0,550320.0,2.3,27100.0
Costa Rica,2023,13.0,11440.0,0.97,1010.0
Greece,2023,13.0,34000.0,0.89,5160.0
Portugal,2020,13.0,49000.0,0.87,2920.0
Thailand,2024,13.0,225000.0,1.2,13400.0
Australia,2023,12.0,181065.0,1.2,3010.0
Greece,2024,12.0,45000.0,1.2,6000.0
Israel,2022,12.0,88000.0,2.5,2760.0
Spain,2023,12.0,360027.0,1.4,25600.0
Cyprus,2024,12.0,,,
Hungary,2024,12.0,,,
Latvia,2024,12.0,,,
Lithuania,2024,12.0,,,
Belgium,2020,11.0,105064.0,1.8,8740.0
France,2020,11.0,440380.0,1.1,34300.0
Netherlands,2016,11.0,112033.0,1.4,32400.0
New Zealand,2024,11.0,113038.0,3.3,1440.0
Spain,2024,11.0,450034.0,1.8,41000.0
Sweden,2019,11.0,97042.0,2.0,9000.0
Thailand,2023,11.0,147000.0,0.82,10500.0
Turkiye,2024,11.0,192000.0,1.4,11900.0
United Kingdom,2020,11.0,410230.0,1.3,22700.0
Hungary,2023,11.0,,,
Latvia,2023,11.0,,,
Lithuania,2023,11.0,,,
Luxembourg,2020,11.0,,,
Romania,2023,11.0,,,
Slovenia,2023,11.0,,,
USA,2024,10.0,6319000.0,2.7,193000.0
Estonia,2024,10.0,,,
Viet Nam,2023,9.8,39083.0,1.8,4900.0
Korea,2022,9.6,386000.0,1.7,201000.0
Austria,2020,9.5,60045.0,1.2,8600.0
Canada,2022,9.5,410300.0,1.7,21300.0
USA,2023,9.5,4818000.0,2.1,160000.0
Italy,2023,9.2,490059.0,1.2,48100.0
Korea,2024,9.2,653000.0,2.8,417000.0
Italy,2021,9.1,230045.0,0.6,22200.0
Romania,2022,9.0,,,
Spain,2022,8.9,226023.0,0.94,12200.0
Cyprus,2023,8.8,,,
Estonia,2023,8.8,,,
Korea,2023,8.7,523000.0,2.2,304000.0
Hungary,2022,8.6,,,
Italy,2022,8.5,350056.0,0.89,38000.0
Latvia,2022,8.1,,,
Slovenia,2024,8.1,,,
Greece,2022,7.9,19400.0,0.52,3080.0
Italy,2024,7.9,600060.0,1.5,60000.0
Lithuania,2022,7.9,,,
Costa Rica,2022,7.6,5210.0,0.48,750.0
New Zealand,2021,7.6,35406.0,1.1,600.0
Sweden,2018,7.6,66021.0,1.3,6500.0
Colombia,2024,7.4,28500.0,0.79,1100.0
USA,2022,7.4,3025000.0,1.4,129000.0
Ireland,2020,7.4,,,
Indonesia,2024,7.3,78540.0,0.59,3240.0
Spain,2021,7.3,155019.0,0.62,8300.0
Turkiye,2023,7.2,81900.0,0.66,10100.0
Hungary,2021,7.0,,,
Greece,2021,6.9,10300.0,0.26,1228.0
Israel,2021,6.9,43000.0,1.3,
